method,region,Chr,start,end,n_snp,span
LFMM,54,Chr7,9078916,9123792,5,44876
LFMM,55,Chr7,10531524,10912478,16,380954
LFMM,56,Chr7,14494398,14635485,5,141087
LFMM,57,Chr7,17986397,18595660,7,609263
LFMM,58,Chr7,11573263,11662441,6,89178
LFMM,59,Chr8,114069,453601,12,339532
LFMM,60,Chr8,1445971,1512168,14,66197
LFMM,61,Chr8,2781739,3535488,7,753749
LFMM,62,Chr8,5518850,6012744,3,493894
LFMM,63,Chr8,9261413,9392691,6,131278
LFMM,64,Chr8,10326828,10338470,18,11642
LFMM,65,Chr8,13485961,13725526,6,239565
LFMM,66,Chr8,17187342,17187646,6,304
LFMM,67,Chr8,18036422,18579859,3,543437
LFMM,68,Chr8,19190280,19295090,4,104810
LFMM,69,Chr9,300311,300595,9,284
LFMM,70,Chr9,3106293,4307596,9,1201303
LFMM,71,Chr9,9436467,9436669,3,202
LFMM,72,Chr9,14376496,14847229,8,470733
LFMM,73,Chr9,16563767,16573873,3,10106
LFMM,74,Chr9,19822486,19854593,4,32107
LFMM,75,Chr10,6239935,6700294,10,460359
LFMM,76,Chr10,14742288,15491573,5,749285
LFMM,77,Chr11,376,1194555,23,1194179
LFMM,78,Chr11,2035568,2202777,8,167209
LFMM,79,Chr11,6108931,6814754,17,705823
LFMM,80,Chr11,8858369,9081517,6,223148
LFMM,81,Chr11,9696289,9793886,4,97597
LFMM,82,Chr11,11990208,12258380,22,268172
LFMM,83,Chr12,2478477,3123781,18,645304
LFMM,84,Chr12,9904864,9904890,5,26
LFMM,85,Chr12,11748742,12148736,11,399994
LFMM,86,Chr12,15547672,15547738,12,66
LFMM,87,Chr12,16469054,18242526,25,1773472
LFMM,88,Chr13,6463201,6463238,3,37
LFMM,89,Chr13,16741155,16741188,5,33
LFMM,90,Chr13,17428443,17428466,3,23
LFMM,91,Chr13,17961516,18301254,4,339738
LFMM,92,Chr14,252721,672446,7,419725
LFMM,93,Chr14,2460858,2461083,5,225
LFMM,94,Chr14,5446401,5446487,5,86
LFMM,95,Chr14,6502385,6502417,3,32
LFMM,96,Chr14,10998500,11803366,12,804866
LFMM,97,Chr14,12378727,12705073,7,326346
LFMM,98,Chr14,13375542,13571428,5,195886
LFMM,99,Chr14,14938596,15228851,14,290255
LFMM,100,Chr14,12697732,12697746,3,14
LFMM,101,Chr15,129439,192100,5,62661
LFMM,102,Chr15,6061827,6212277,5,150450
LFMM,103,Chr15,6898545,6898800,6,255
LFMM,104,Chr15,8213182,8213212,4,30
LFMM,105,Chr15,14373434,14373554,5,120
LFMM,106,Chr15,15331343,15331378,4,35
LFMM,107,Chr15,9497708,9498841,4,1133
LFMM,108,Chr15,14641943,14641947,3,4
LFMM,109,Chr16,1630526,2168607,7,538081
LFMM,110,Chr16,4227239,5237830,13,1010591
LFMM,111,Chr16,11542810,11853909,15,311099
LFMM,112,Chr16,13861021,13899938,8,38917
LFMM,113,Chr16,16478564,17177070,10,698506
LFMM,114,Chr17,6450560,6770606,13,320046
LFMM,115,Chr17,7284281,7284545,5,264
LFMM,116,Chr17,9036740,9036763,3,23
LFMM,117,Chr17,9943587,10055412,13,111825
LFMM,118,Chr17,11952962,11952979,4,17
LFMM,119,Chr18,798426,1885998,15,1087572
LFMM,120,Chr18,3703238,3777171,7,73933
LFMM,121,Chr18,4833911,4833925,4,14
LFMM,122,Chr18,5613779,5613988,10,209
LFMM,123,Chr18,15218834,15317405,5,98571
LFMM,124,Chr18,10279867,10279900,4,33
LFMM,125,Chr18,16266781,16266786,3,5
LFMM,126,Chr20,180654,214205,24,33551
LFMM,127,Chr20,908040,908094,3,54
LFMM,128,Chr20,2207553,2359411,17,151858
LFMM,129,Chr20,3669460,3669694,7,234
LFMM,130,Chr20,6251212,6325080,5,73868
LFMM,131,Chr20,12678746,13011549,6,332803
LFMM,132,Chr20,16107469,16108630,4,1161
LFMM,133,Chr20,18725161,19485453,5,760292
LFMM,134,Chr20,16000907,16000924,3,17
LFMM,135,Chr21,2182069,2182139,3,70
LFMM,136,Chr21,7000338,7433726,5,433388
